"id","centroid_x","centroid_y","polygon_source","area_mine_ha","country_name","dist_road_m","dist_power_line_m","dist_substation_m","dist_airport_m","dist_waterbody_m","dist_urban_m","avg_PVOUT","avg_GHI","avg_TEMP","avg_wind_speed_ms_50m","avg_wind_power_density_Wm2_50m","dist_PHES_upper_m","dist_PHES_lower_m","avg_elevation","dist_KBA_m","dist_PA_m","suitable_solar","suitable_wind","suitable_phes"
"A0044200",106.625673602369,21.0138459134762,"Tang & Werner 2023",11.40706844934,"Vietnam",4001.48872508881,0,4635.17081293726,22092.8628952528,0,822.036702518402,2.96000003814697,3.63000011444092,23.5625,4.73987245559692,190.559097290039,53630.0675693512,51510.2385300411,6.5,16501.2280041294,16501.2279666092,FALSE,FALSE,FALSE
"A0044201",106.612362177409,21.0229083515217,"Tang & Werner 2023",11.0713403143,"Vietnam",2992.81426878122,153.950574728128,4149.57567071527,23007.7751586584,0,80.7472193717735,2.96200001239777,3.62600004673004,23.53125,4.87492632865906,214.427398681641,54961.5142827599,52848.0562848509,6.5,15755.1680599918,15755.168022123,FALSE,FALSE,FALSE
"A0044202",106.616280149649,21.0064239076074,"Tang & Werner 2023",25.8665486371669,"Vietnam",4642.81254389931,0,5689.06924962756,21180.0779876227,63.0678395401165,0,2.95766671498617,3.6183332602183,23.5,5.04966878890991,264.682929992676,54370.035652343,52243.5747847695,14.25,16800.8423960244,17506.1026304891,FALSE,FALSE,FALSE
"A0044203",106.3695730105,21.1100197072125,"Tang & Werner 2023",31.7696665313876,"Vietnam",11292.4699116228,815.887665478404,2565.01753150764,17164.0666428223,1294.23465512658,0,2.96799993515015,3.63225001096725,23.375,4.89472317695618,175.156455993652,80944.5748481967,78898.9128041344,16,25250.6451632526,0,FALSE,FALSE,FALSE
"A0044204",106.378581746215,21.1174892641605,"Tang & Werner 2023",20.5584933894785,"Vietnam",12333.290132325,1475.91725593106,1469.09626592743,18315.2657009444,960.283649987791,136.988414135856,2.96049996217092,3.61900007724762,23.4166666666667,4.83451859156291,183.665751139323,79900.1684476345,77859.2797933014,28.6666666666667,24076.608622105,0,FALSE,FALSE,FALSE
"A0044205",106.336684777131,21.1260867462313,"Tang & Werner 2023",55.7905005375069,"Vietnam",8629.29191263359,463.218923593542,2306.34120868745,14701.1734602423,1651.86780924606,317.16788124153,2.96540002822876,3.62466665108999,23.2,4.87039981569563,168.344933646066,84174.9404478139,82138.5198153305,61.5,27801.83923488,550.572591921186,TRUE,FALSE,FALSE
"A0044206",106.32698243678,21.1247823317958,"Tang & Werner 2023",25.9452370031024,"Vietnam",7780.15490390851,307.606518533207,1454.20299206983,13849.6206621697,1172.71960248485,151.771406343643,2.97374999523163,3.63700008392334,23.34375,5.17592159907023,205.836771647135,84386.047316556,82962.1530455993,31,29173.5251746431,1945.19239204216,FALSE,FALSE,FALSE
"A0044207",106.319047251915,21.1246816721057,"Tang & Werner 2023",4.65392399351113,"Vietnam",7223.46525202596,0,1253.06232029823,13450.2336468297,529.755094315417,47.7995908454897,2.97599995136261,3.64440002441406,23.40625,5.51671123504639,269.055675506592,84280.1052739682,82868.1879433036,18,30276.3758209914,3030.88618740891,FALSE,FALSE,FALSE
"A0044208",106.319273774665,21.1221308727226,"Tang & Werner 2023",3.3377076546881,"Vietnam",7244.55139546948,0,984.449178631217,13320.3481591402,869.879692109722,0,2.9909999370575,3.65260000228882,23.4375,5.04062986373901,197.713523864746,84023.4256211438,82606.5795698294,18,30298.344102245,3046.64548841183,FALSE,FALSE,FALSE
"A0044209",106.330052867764,21.1191601856365,"Tang & Werner 2023",3.78679229427908,"Vietnam",8045.43276713161,1005.48456849118,1793.57777465725,14114.0992411624,1980.84857541116,0,2.98600006103516,3.64800000190735,23.3125,4.76652097702026,154.953369140625,84388.7826343884,82955.9396966493,30.5,29249.2134034066,2058.04566806849,FALSE,FALSE,FALSE
"A0044210",106.408894110507,21.1282579846647,"Tang & Werner 2023",8.84727577005416,"Vietnam",15889.9695772066,1143.3393751879,1150.48366767154,21868.4249557825,2218.65402271392,0,2.96450006961823,3.62299990653992,23.5,4.9635226726532,190.776176452637,77246.7766834973,75220.5445654498,7.66666666666667,21012.6762485087,851.277607674206,FALSE,FALSE,FALSE
"A0044211",106.399512786555,21.1291504687282,"Tang & Werner 2023",56.5348031326201,"Vietnam",14732.340848814,1056.56129038149,995.263190055304,20729.5919929701,2413.32453165252,0,2.96074998378754,3.62074998021126,23.46875,4.88451882771083,182.136934552874,78029.2482334486,76000.3100392541,9.5,21668.5435966936,0,FALSE,FALSE,FALSE
"A0044212",106.397932575378,21.1228689937077,"Tang & Werner 2023",1.46334019390563,"Vietnam",14829.9528139794,780.608897592935,711.424042726076,20782.9003977938,2040.57514471628,0,2.96399998664856,3.62233328819275,23.5,4.77356195449829,172.719047546387,78496.4629376521,76463.2336342535,10,22452.6371853988,5.66586643066027,FALSE,FALSE,FALSE
"A0044213",106.398097526618,21.1212719883304,"Tang & Werner 2023",2.04205705640827,"Vietnam",14807.9596498379,552.735171855719,483.401857610309,20741.2136621779,1841.45308054339,0,2.96399998664856,3.62299990653992,23.5,4.76177597045898,169.988876342773,78436.6059474771,76402.1187609276,10,22457.2450576622,56.5881431959275,FALSE,FALSE,FALSE
"A0044214",106.401153840058,21.1212877624737,"Tang & Werner 2023",5.12900234508564,"Vietnam",15060.3568028249,560.669785799392,500.465991931235,20996.9462021001,1995.97210590077,0,2.96399998664856,3.62400007247925,23.5,4.81628751754761,170.428451538086,77978.415253183,75944.8659049393,6,22002.8143904633,271.868103111856,FALSE,FALSE,FALSE
"A0044215",106.420781967941,21.1280867247248,"Tang & Werner 2023",65.0086232360596,"Vietnam",16739.7317303563,0,0,22743.5121831172,776.769497290789,0,2.96600008010864,3.62377778689067,23.5,5.07927331924438,209.610861206055,75820.9087516209,73796.7904484643,7,19567.90856402,1896.46003627548,TRUE,FALSE,FALSE
"A0044216",106.423197983219,21.1189472642523,"Tang & Werner 2023",5.02715682119229,"Vietnam",16462.058931918,0,483.789123453898,23061.1120886487,1650.14803884777,1117.49633738883,2.96600008010864,3.62400007247925,23.5,5.02102947235107,202.462677001953,75759.0280779734,73725.5254511433,3.5,20014.7621678322,2588.05141811455,FALSE,FALSE,FALSE
"A0044217",106.419220495669,21.1186367778568,"Tang & Werner 2023",1.65183494240222,"Vietnam",16866.2838443029,15.5801773741321,656.748337746339,22729.2662438573,2042.5569136207,836.727207202904,2.96600008010864,3.625,23.5,4.98204755783081,193.82400894165,76237.3716640695,74202.5933492519,3.5,20492.7396448468,2242.35512563097,FALSE,FALSE,FALSE
"A0044218",106.409046720504,21.1227301108763,"Tang & Werner 2023",21.1736131850553,"Vietnam",15550.918274118,514.828981262487,869.992901794052,21472.4336446685,2311.074660562,0,2.96533338228861,3.62400007247925,23.5,4.90889644622803,180.199686686198,77121.8644698406,75090.9573866268,5,21078.5763610046,835.251055875237,FALSE,FALSE,FALSE
"A0044219",106.39044075794,21.1177870650019,"Tang & Werner 2023",10.4342945606235,"Vietnam",13747.1268435755,617.569366138203,557.984864763045,19687.5084886968,1075.16508672094,0,2.96299997965495,3.625,23.4791666666667,4.57101147515433,150.328639439174,78938.8540385601,76899.9314060461,15,23111.9229254488,0,FALSE,FALSE,FALSE
